symbol,exchange,name,sector,industry,slug
WAFGn,XETRA,Siltronic AG,Information Technology,Semiconductors & Semiconductor Equipment,siltronic-ag
SNGGk,XETRA,Singulus Tech,Industrials,Machinery,singulus-tech
XTPG,XETRA,sino,Financial,Investment Services,sino?cid=1178639
SIXG_p,XETRA,Sixt AG VZO,Industrials,Road & Rail,sixt-ag-vz
SIXG,XETRA,Sixt SE,Industrials,Road & Rail,sixt-ag
BTBB,XETRA,SLEEPZ,Consumer Discretionary,Internet & Direct Marketing Retail,bmp-ag
AM3D,XETRA,SLM Solutions,Industrials,Machinery,slm-solution-g
SMWN,XETRA,SM Wirtschaftsberatungs,Real Estate,Real Estate Management & Development,sm-wirtschaftsberatungs-ag
S92G,XETRA,SMA Solar AG,Information Technology,Semiconductors & Semiconductor Equipment,sma-solar-technology-ag-exch
S4AG,XETRA,SMT Scharf AG,Industrials,Machinery,smt-scharf-ag
1SI,XETRA,Snap,Communication Services,Interactive Media & Services,snap-inc?cid=1010667
SHFG,XETRA,SNP Schneider,Information Technology,IT Services,snp-schneider
SOGN,XETRA,Societe Generale,Financial,Regional Banks,societe-generale?cid=29459
SYTG,XETRA,Softing AG,Information Technology,"Electronic Equipment, Instruments & Components",softing-ag
SFDGk,XETRA,Softline,Information Technology,IT Services,softline-ag
SOWGn,XETRA,Software AG,Information Technology,Software,software?cid=23409
ZSOL,XETRA,Solutiance,Information Technology,Software,progeo-holding?cid=1176390
SPME,XETRA,Splendid Medien,Communication Services,Entertainment,splendid-medien-ag
WIGGk,XETRA,Sporttotal,Communication Services,Media,wige-media-ag
639,XETRA,Spotify Tech,Communication Services,Entertainment,spotify-technology?cid=1097265
S6P,XETRA,Spvgg Unterhaching,Communication Services,Entertainment,spielvereinigung-unterhaching-fussb
STAB,XETRA,Stabilus,Industrials,Machinery,stabilus
SBUX,XETRA,Starbucks,Consumer Discretionary,"Hotels, Restaurants & Leisure",starbucks-corp?cid=963399
ST5G,XETRA,Steico,Industrials,Building Products,steico-se
8TI,XETRA,Stellantis NV,Consumer Discretionary,Automobiles,fiat?cid=963022
S9I,XETRA,Stemmer Imaging,Information Technology,"Electronic Equipment, Instruments & Components",stemmer-imaging-ag
STOG_p,XETRA,Sto KGaA,Materials,Construction Materials,sto-se-co-kgaa
SBSG,XETRA,STRATEC Biomedical,Healthcare,Health Care Equipment & Supplies,stratec-biomedical-ag
SAXG,XETRA,Stroeer,Communication Services,Media,stroeer-out-of-home-media-ag
SF3,XETRA,STS Group,Industrials,Machinery,sts-group-ag
SZUG,XETRA,Suedzucker,Consumer Staples,Food Products,suedzucker
SMHNn,XETRA,Suess Microtec,Information Technology,Semiconductors & Semiconductor Equipment,suess-microtec-n?cid=22389
SURG,XETRA,Surteco SE,Consumer Discretionary,Household Durables,surteco-se
SUSEG,XETRA,Suse,Information Technology,Software,suse
SR9,XETRA,Swiss Re,Financial,Insurance,swiss-re?cid=963271
SY1G,XETRA,Symrise AG,Materials,Chemicals,symrise-ag?cid=25363
SBXn,XETRA,SynBiotic SE,Healthcare,Pharmaceuticals,synbiotic-se
SYAB,XETRA,Synlab AG,Healthcare,Health Care Providers & Services,synlab-ag
SYZG,XETRA,Syzygy AG,Communication Services,Media,syzygy-ag
TEGG,XETRA,Tag Immobilien,Real Estate,Real Estate Management & Development,tag-immobilien-ag
TTKG,XETRA,Takkt AG,Consumer Discretionary,Internet & Direct Marketing Retail,takkt-ag
TLXGn,XETRA,Talanx AG,Financial,Insurance,talanx
TGT,XETRA,Target,Consumer Discretionary,Multiline Retail,target?cid=1169083
TMV,XETRA,TeamViewer,Information Technology,Software,teamviewer
TTRGn,XETRA,Technotrans AG,Industrials,Machinery,technotrans-ag
TC1n,XETRA,Tele Columbus AG,Communication Services,Media,tele-columbus-ag
TLIT,XETRA,Telecom Italia,Communication Services,Diversified Telecommunication Services,telecom-italia?cid=963253
TLITn,XETRA,Telecom Italia RSP,Communication Services,Diversified Telecommunication Services,telecom-italia-rnc?cid=963593
TEF,XETRA,Telefonica,Communication Services,Diversified Telecommunication Services,telefonica?cid=29475
O2Dn,XETRA,Telefonica Deutschland AG,Communication Services,Diversified Telecommunication Services,telefonica-deutschland-holding-ag
TLIK,XETRA,TELES Informationstechnologien AG,Communication Services,Diversified Telecommunication Services,teles-ag-info-tech?cid=962959
TCO0,XETRA,Tesco,Consumer Staples,Food & Staples Retailing,tesco?cid=963405
TSLA,XETRA,Tesla,Consumer Discretionary,Automobiles,tesla-motors?cid=963569
PU11n,XETRA,The Social Chain AG,Communication Services,Interactive Media & Services,the-social-chain-ag
TKAG,XETRA,Thyssenkrupp AG,Materials,Metals & Mining,thyssen-krupp?cid=22517
TLGG,XETRA,TLG Immobilien AG,Real Estate,Real Estate Management & Development,tlg-immobilien-ag
14Dn,XETRA,Tokentus Investment,Financial,Capital Markets,tokentus-investment
